StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q31,Q34,Q1,Q3,Q9,Q11,Q6,Q23,Q22,Q22_4_TEXT,Q24,Q7,Q7_4_TEXT,Q4,Q5,Q5_4_TEXT,Q36,Q38,Q40,Q41,Q42,Q44,Q45,Q46,Q47,Q48,Q52,Q53,Q54,Q55,rid,gender,ethnicity,education,region,age,hhi,hispanic,political_party,zip,Group
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you live in the United States of America?,Are you a United States citizen?,What is your age in years? (check one),How do you describe yourself? (check one),What is the highest level of education you have completed?,Information about income is very important to understand.  Would you please give your best guess?Please indicate the answer that includes your entire household income before taxes.,With what frequency do you currently consume news? (check one),What formats of news do you usually consume? (check all that apply),How do you regularly consume online news? (check all that apply) - Selected Choice,How do you regularly consume online news? (check all that apply) - Other - Text,"When consuming online news content, do you read the comments?",Which news source do you trust? (check all that apply) - Selected Choice,Which news source do you trust? (check all that apply) - Other - Text,What is your political leaning? (check one),What is your political affiliation? (check one) - Selected Choice,What is your political affiliation? (check one) - Other - Text,"In the last week, how often have you been upset because of something that happened unexpectedly?","In the last week, how often have you felt that you were unable to control the important things in your life?","In the last week, how often have you felt nervous and “stressed”?","In the last week, how often have you dealt successfully with day to day problems and annoyances?","In the last week, how often have you felt that you were effectively coping with important changes that were occurring in your life?","In the last week, how often have you felt confident about your ability to handle your personal problems?","In the last week, how often have you felt that things were going your way?","In the last week, how often have you found that you could not cope with all the things that you had to do?","In the last week, how often have you been able to control irritations in your life?","In the last week, how often have you felt that you were on top of things?","In the last week, how often have you been angered because of things that happened that were outside of your control?","In the last week, how often have you found yourself thinking about things that you have to accomplish?","In the last week, how often have you been able to control the way you spend your time?","In the last week, how often have you felt difficulties were piling up so high that you could not overcome them?",rid,gender,ethnicity,education,region,age,hhi,hispanic,political_party,zip,Group
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID31""}","{""ImportId"":""QID34""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID5""}","{""ImportId"":""QID23""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_4_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_4_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""rid""}","{""ImportId"":""gender""}","{""ImportId"":""ethnicity""}","{""ImportId"":""education""}","{""ImportId"":""region""}","{""ImportId"":""age""}","{""ImportId"":""hhi""}","{""ImportId"":""hispanic""}","{""ImportId"":""political_party""}","{""ImportId"":""zip""}","{""ImportId"":""Group""}"
11/7/2018 6:26,11/7/2018 6:26,Survey Preview,,100,13,TRUE,11/7/2018 6:26,R_6Jvie3iGkeRMHQd,,,,,41.84829712,-87.65170288,preview,EN,Currently living outside of the United States of America,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2018 6:50,11/7/2018 6:51,Survey Preview,,100,103,TRUE,11/7/2018 6:51,R_3NKdDpn6kgleqMx,,,,,41.84829712,-87.65170288,preview,EN,Currently living in the United States of America,,31-40,"Do not identify as female, male, or transgender",Less than high school degree,"Less than $10,000",Weekly,Online Media,"Through an aggregator (Google News, The Skimm, etc.)",,Sometimes,"CNN,Other",,Right leaning,Democrat,,Almost Never,Never,Sometimes,Fairly Often,Very Often,Fairly Often,Never,Almost Never,Sometimes,Fairly Often,Very Often,Fairly Often,Almost Never,Sometimes,,,,,,,,,,,Placebo
11/7/2018 6:52,11/7/2018 6:53,Survey Preview,,100,76,TRUE,11/7/2018 6:53,R_31oz1VcGQgFAVPp,,,,,41.84829712,-87.65170288,preview,EN,Currently living outside of the United States of America,Yes,31-40,Transgender,Some college but no degree,"$60,000 to $69,999",Weekly,Television broadcast,,,,Other,ABC,Central,Republican,,Very Often,Very Often,Very Often,Never,Sometimes,Almost Never,Never,Fairly Often,Sometimes,Never,Very Often,Never,Almost Never,Fairly Often,,,,,,,,,,,Placebo
11/11/2018 22:19,11/11/2018 22:35,IP Address,205.185.217.135,100,956,TRUE,11/11/2018 22:35,R_3QF9snNHCNZ37YI,,,,,33.76829529,-84.39350128,anonymous,EN,Currently living outside of the United States of America,Yes,41-50,Female,Bachelor's degree in college (4-year),"$100,000 to $149,999",Multiple times per day,Online Media,"Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Other",podcasts,Sometimes,"Reuters,CNN,Other","NY Times, Washington Post, BBC",Central,Democrat,,Sometimes,Almost Never,Sometimes,Very Often,Very Often,Very Often,Sometimes,Sometimes,Almost Never,Sometimes,Sometimes,Very Often,Sometimes,Almost Never,,,,,,,,,,,Control
11/11/2018 22:25,11/11/2018 22:38,IP Address,100.40.144.63,100,817,TRUE,11/11/2018 22:38,R_A65cWK6SkyPdRFn,,,,,41.54040527,-73.89790344,anonymous,EN,Currently living in the United States of America,,21-30,Male,Master's degree,"$100,000 to $149,999",Multiple times per day,"Online Media,Word of Mouth","Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Always,"Reuters,CNN",,Central,Democrat,,Almost Never,Never,Sometimes,Fairly Often,Sometimes,Fairly Often,Sometimes,Sometimes,Sometimes,Fairly Often,Sometimes,Sometimes,Sometimes,Almost Never,,,,,,,,,,,Placebo
11/13/2018 9:14,11/13/2018 9:16,IP Address,107.14.49.97,100,113,TRUE,11/13/2018 9:16,R_1H8dmYNYuh6sTzX,,,,,36.02200317,-79.78209686,anonymous,EN,Currently living in the United States of America,,Older than 60,Female,High school graduate (high school diploma or equivalent including GED),"$50,000 to $59,999",Daily,Television broadcast,,,,Fox News,,Right leaning,Republican,,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,5beaf830-6bce-4bd8-a01c-1b05609ca84b,2,1,2,2,73,9,1,10,44857,Placebo
11/13/2018 9:14,11/13/2018 9:17,IP Address,66.41.90.47,100,170,TRUE,11/13/2018 9:17,R_ANHmRRHQv5G6qqt,,,,,45.16810608,-93.25039673,anonymous,EN,Currently living in the United States of America,,Older than 60,Female,Some college but no degree,"$30,000 to $39,999",Multiple times per day,Television broadcast,,,,"Fox News,Other","ABC, NBC",Right leaning,Independent,,Almost Never,Never,Never,Very Often,Sometimes,Fairly Often,Sometimes,Almost Never,Fairly Often,Fairly Often,Never,Fairly Often,Fairly Often,Almost Never,5beaf858-cd7e-4ee9-85fb-1a5d1b8d3982,2,1,4,2,81,6,1,5,55304,Control
11/13/2018 9:15,11/13/2018 9:18,IP Address,104.8.77.31,100,135,TRUE,11/13/2018 9:18,R_Zag8vtWQxJeNdC1,,,,,33.63690186,-84.33709717,anonymous,EN,Currently living in the United States of America,,41-50,Female,Associate degree in college (2-year),"$10,000 to $19,999",Multiple times per day,"Television broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.)",,Rarely,CNN,,Central,Democrat,,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,5beaf88c-e858-4cb4-ae64-584eb038d296,2,1,5,3,49,1,1,2,30288,Treatment
