StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q31,Q34,Q1,Q3,Q9,Q11,Q6,Q23,Q22,Q22_4_TEXT,Q24,Q7,Q7_4_TEXT,Q4,Q5,Q5_4_TEXT,Q36,Q38,Q40,Q41,Q42,Q44,Q45,Q46,Q47,Q48,Q52,Q53,Q54,Q55,rid,gender,ethnicity,education,region,age,hhi,hispanic,political_party,zip,Group
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you live in the United States of America?,Are you a United States citizen?,What is your age in years? (check one),How do you describe yourself? (check one),What is the highest level of education you have completed?,Information about income is very important to understand.  Would you please give your best guess?Please indicate the answer that includes your entire household income in (previous year) before taxes.,With what frequency do you currently consume news? (check one),What formats of news do you usually consume? (check all that apply),How do you regularly consume online news? (check all that apply) - Selected Choice,How do you regularly consume online news? (check all that apply) - Other - Text,"When consuming online news content, do you read the comments?",Which news source do you trust? (check all that apply) - Selected Choice,Which news source do you trust? (check all that apply) - Other - Text,What is your political leaning? (check one),What is your political affiliation? (check one) - Selected Choice,What is your political affiliation? (check one) - Other - Text,"In the last week, how often have you been upset because of something that happened unexpectedly?","In the last week, how often have you felt that you were unable to control the important things in your life?","In the last week, how often have you felt nervous and “stressed”?","In the last week, how often have you dealt successfully with day to day problems and annoyances?","In the last week, how often have you felt that you were effectively coping with important changes that were occurring in your life?","In the last week, how often have you felt confident about your ability to handle your personal problems?","In the last week, how often have you felt that things were going your way?","In the last week, how often have you found that you could not cope with all the things that you had to do?","In the last week, how often have you been able to control irritations in your life?","In the last week, how often have you felt that you were on top of things?","In the last week, how often have you been angered because of things that happened that were outside of your control?","In the last week, how often have you found yourself thinking about things that you have to accomplish?","In the last week, how often have you been able to control the way you spend your time?","In the last week, how often have you felt difficulties were piling up so high that you could not overcome them?",rid,gender,ethnicity,education,region,age,hhi,hispanic,political_party,zip,Group
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID31""}","{""ImportId"":""QID34""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID5""}","{""ImportId"":""QID23""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_4_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_4_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""rid""}","{""ImportId"":""gender""}","{""ImportId"":""ethnicity""}","{""ImportId"":""education""}","{""ImportId"":""region""}","{""ImportId"":""age""}","{""ImportId"":""hhi""}","{""ImportId"":""hispanic""}","{""ImportId"":""political_party""}","{""ImportId"":""zip""}","{""ImportId"":""Group""}"
11/11/2018 22:38,11/11/2018 22:44,IP Address,205.185.217.135,100,380,TRUE,11/11/2018 22:44,R_2rkDQ1gl9Hhh6xM,,,,,33.76829529,-84.39350128,anonymous,EN,Currently living outside of the United States of America,Yes,41-50,Female,Bachelor's degree in college (4-year),"$100,000 to $149,999",Multiple times per day,Online Media,"Directly from the news source (CNN, Fox News, etc.),Other",podcast,Sometimes,"Reuters,CNN,Other",LA Times,Central,Democrat,,Very Often,Very Often,Very Often,Almost Never,Never,Never,Never,Never,Never,Never,Very Often,Never,Never,Never,,,,,,45,,,,,Treatment
11/13/2018 9:38,11/13/2018 9:40,IP Address,32.208.81.104,100,130,TRUE,11/13/2018 9:40,R_06qYRhKaMPZYtCF,,,,,41.20910645,-73.20860291,anonymous,EN,Currently living in the United States of America,,31-40,Female,Bachelor's degree in college (4-year),"$150,000 or more",Multiple times per day,"Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,,"Reuters,Other",BBC,Left leaning,Democrat,,Very Often,Very Often,Very Often,Fairly Often,Sometimes,Fairly Often,Sometimes,Sometimes,Sometimes,Fairly Often,Fairly Often,Sometimes,Sometimes,Sometimes,,,,,,35,,,,,Placebo
11/13/2018 9:41,11/13/2018 9:46,IP Address,71.224.200.139,100,256,TRUE,11/13/2018 9:46,R_2AFLnlfxoUAlMIX,,,,,40,-75.27600098,anonymous,EN,Currently living in the United States of America,,51-60,Female,"Professional degree (JD, MD)","$150,000 or more",Multiple times per day,"Television broadcast,Radio broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,"Reuters,CNN,Other","AP, NY Times, Washington Post",Left leaning,Democrat,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost Never,Fairly Often,Almost Never,Almost Never,Fairly Often,Fairly Often,Sometimes,Sometimes,,,,,,55,,,,,Placebo
11/13/2018 9:55,11/13/2018 9:57,IP Address,209.234.100.130,100,136,TRUE,11/13/2018 9:57,R_1gwt7PJ8JEC2pTH,,,,,37.65739441,-122.4235001,anonymous,EN,Currently living in the United States of America,,21-30,Female,Master's degree,"$70,000 to $79,999",Daily,Online Media,"Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.)",,Sometimes,CNN,,Left leaning,Democrat,,Sometimes,Sometimes,Sometimes,Fairly Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,,,,,,25,,,,,Control
11/13/2018 10:06,11/13/2018 10:09,IP Address,99.65.26.68,100,184,TRUE,11/13/2018 10:09,R_wMqC1lJAo2iZJId,,,,,29.65179443,-95.48539734,anonymous,EN,Currently living in the United States of America,,41-50,Female,Master's degree,"$150,000 or more",Multiple times per day,"Television broadcast,Radio broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"CNN,Other",NPR,Central,Democrat,,Almost Never,Almost Never,Almost Never,Very Often,Very Often,Very Often,Very Often,Almost Never,Fairly Often,Very Often,Almost Never,Fairly Often,Very Often,Almost Never,,,,,,45,,,,,Treatment
11/13/2018 10:14,11/13/2018 10:18,IP Address,12.189.101.138,100,261,TRUE,11/13/2018 10:18,R_2EjgI4SBiFIVOUE,,,,,37.53309631,-122.2485962,anonymous,EN,Currently living in the United States of America,,21-30,Male,Doctoral degree,"$150,000 or more",Multiple times per day,"Radio broadcast,Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,"Reuters,CNN",,Left leaning,Other,,Sometimes,Sometimes,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Sometimes,Almost Never,Fairly Often,Very Often,Fairly Often,Sometimes,Almost Never,,,,,,25,,,,,Treatment
11/13/2018 10:18,11/13/2018 10:24,IP Address,73.185.134.73,100,338,TRUE,11/13/2018 10:24,R_2zSFc9mHhmhkzfJ,,,,,45.02420044,-93.30200195,anonymous,EN,Currently living in the United States of America,,Older than 60,Male,"Professional degree (JD, MD)","$90,000 to $99,999",Multiple times per day,"Radio broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.),Other",newspaper,Rarely,"Reuters,Other",BBC,Left leaning,Independent,,Fairly Often,Fairly Often,Very Often,Fairly Often,Sometimes,Sometimes,Sometimes,Fairly Often,Sometimes,Almost Never,Sometimes,Fairly Often,Sometimes,Fairly Often,,,,,,65,,,,,Placebo
11/13/2018 10:40,11/13/2018 10:49,IP Address,208.54.4.145,100,577,TRUE,11/13/2018 10:49,R_3rZcw4RzLpV0iNT,,,,,33.87660217,-117.955101,anonymous,EN,Currently living in the United States of America,,21-30,Female,Doctoral degree,"$100,000 to $149,999",Multiple times per day,"Radio broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,"CNN,Other",NPR,Left leaning,Democrat,,Sometimes,Sometimes,Fairly Often,Fairly Often,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Almost Never,Sometimes,Fairly Often,Almost Never,Sometimes,,,,,,25,,,,,Placebo
11/13/2018 11:21,11/13/2018 11:24,IP Address,173.212.50.162,100,197,TRUE,11/13/2018 11:24,R_3PmMJ0LmpZwHd0u,,,,,30.8249054,-90.93309784,anonymous,EN,Currently living in the United States of America,,31-40,Male,Master's degree,"$50,000 to $59,999",Multiple times per day,"Radio broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,"Reuters,CNN,Other","NPR, The Root",Left leaning,Democrat,,Almost Never,Never,Almost Never,Very Often,Fairly Often,Very Often,Fairly Often,Almost Never,Very Often,Sometimes,Sometimes,Fairly Often,Fairly Often,Almost Never,,,,,,35,,,,,Treatment
11/13/2018 11:37,11/13/2018 11:40,IP Address,172.58.102.192,100,161,TRUE,11/13/2018 11:40,R_tDMiAiRWlxcTYlP,,,,,29.69470215,-95.65110016,anonymous,EN,Currently living in the United States of America,,21-30,Male,Bachelor's degree in college (4-year),"$50,000 to $59,999",Multiple times per day,"Radio broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"Reuters,Other","BBC,",Left leaning,Democrat,,Sometimes,Almost Never,Sometimes,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Sometimes,Fairly Often,Fairly Often,Almost Never,Fairly Often,Fairly Often,Sometimes,,,,,,25,,,,,Control
11/13/2018 11:42,11/13/2018 11:46,IP Address,79.226.77.222,100,239,TRUE,11/13/2018 11:46,R_1gSAQcBkmx1tUsw,,,,,50.21670532,8.616699219,anonymous,EN,Currently living outside of the United States of America,Yes,41-50,Female,Bachelor's degree in college (4-year),"$150,000 or more",Multiple times per day,Online Media,"Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,"Reuters,CNN",,Left leaning,Democrat,,Almost Never,Sometimes,Sometimes,Fairly Often,Sometimes,Sometimes,Sometimes,Sometimes,Fairly Often,Sometimes,Sometimes,Fairly Often,Almost Never,Sometimes,,,,,,45,,,,,Treatment
11/13/2018 11:43,11/13/2018 11:48,IP Address,109.91.33.251,100,337,TRUE,11/13/2018 11:48,R_3rTZzuCoBXDjU81,,,,,50.20730591,8.57749939,anonymous,EN,Currently living outside of the United States of America,Yes,41-50,Female,"Professional degree (JD, MD)","$150,000 or more",Multiple times per day,"Television broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"Reuters,CNN",,Left leaning,Democrat,,Fairly Often,Sometimes,Fairly Often,Sometimes,Sometimes,Fairly Often,Sometimes,Sometimes,Sometimes,Almost Never,Sometimes,Very Often,Fairly Often,Sometimes,,,,,,45,,,,,Placebo
11/13/2018 11:47,11/13/2018 11:49,IP Address,192.234.39.43,100,144,TRUE,11/13/2018 11:49,R_ZHMJdRYKj404g01,,,,,39.12060547,-76.49500275,anonymous,EN,Currently living in the United States of America,,31-40,Female,Master's degree,"$40,000 to $49,999",Multiple times per day,"Television broadcast,Radio broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.)",,Never,Reuters,,Central,Independent,,Sometimes,Almost Never,Fairly Often,Fairly Often,Sometimes,Fairly Often,Sometimes,Never,Sometimes,Sometimes,Never,Fairly Often,Sometimes,Very Often,,,,,,35,,,,,Control
11/13/2018 11:48,11/13/2018 11:51,IP Address,216.40.81.225,100,216,TRUE,11/13/2018 11:51,R_2VCS1DSInegoPOn,,,,,39.01420593,-77.52850342,anonymous,EN,Currently living in the United States of America,,31-40,Female,Some college but no degree,"$20,000 to $29,999",Daily,"Television broadcast,Online Media,Word of Mouth","Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,CNN,,Right leaning,Democrat,,Sometimes,Fairly Often,Fairly Often,Sometimes,Sometimes,Fairly Often,Sometimes,Fairly Often,Fairly Often,Sometimes,Sometimes,Fairly Often,Fairly Often,Sometimes,,,,,,35,,,,,Treatment
11/13/2018 11:52,11/13/2018 11:56,IP Address,107.77.203.188,100,244,TRUE,11/13/2018 11:56,R_2YfzE0TgXyL9dis,,,,,38.90870667,-77.04139709,anonymous,EN,Currently living in the United States of America,,41-50,Female,Bachelor's degree in college (4-year),"$150,000 or more",Multiple times per day,"Television broadcast,Online Media","Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,CNN,,Left leaning,Democrat,,Fairly Often,Sometimes,Sometimes,Fairly Often,Fairly Often,Sometimes,Fairly Often,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Fairly Often,,,,,,45,,,,,Placebo
11/13/2018 11:59,11/13/2018 11:59,IP Address,78.19.114.200,100,16,TRUE,11/13/2018 11:59,R_3nNHIkjHdrg9m74,,,,,53.33309937,-6.248901367,anonymous,EN,Currently living outside of the United States of America,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,
11/13/2018 11:54,11/13/2018 11:59,IP Address,174.77.154.168,100,304,TRUE,11/13/2018 11:59,R_wUlNFHzr3lKVVnP,,,,,38.95300293,-77.22949982,anonymous,EN,Currently living in the United States of America,,31-40,Female,Bachelor's degree in college (4-year),"$150,000 or more",Daily,"Radio broadcast,Online Media,Word of Mouth","Through an aggregator (Google News, The Skimm, etc.)",,Rarely,Other,"NPR, AP, BBC",Left leaning,Democrat,,Almost Never,Almost Never,Sometimes,Very Often,Very Often,Very Often,Fairly Often,Almost Never,Fairly Often,Sometimes,Almost Never,Fairly Often,Very Often,Almost Never,,,,,,35,,,,,Treatment
11/13/2018 11:57,11/13/2018 12:04,IP Address,65.216.143.186,100,393,TRUE,11/13/2018 12:04,R_3k5Lc8ObFL693aG,,,,,38.98139954,-77.47229767,anonymous,EN,Currently living in the United States of America,,31-40,Female,Master's degree,"$150,000 or more",Daily,"Radio broadcast,Online Media","Through social media (Facebook, LinkedIn, etc.)",,Rarely,CNN,,Left leaning,Independent,,Sometimes,Almost Never,Sometimes,Fairly Often,Fairly Often,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Fairly Often,Fairly Often,Almost Never,,,,,,35,,,,,Placebo
11/13/2018 12:00,11/13/2018 12:05,IP Address,173.66.170.225,100,258,TRUE,11/13/2018 12:05,R_1IGkegcZvOW3a22,,,,,38.84480286,-77.46700287,anonymous,EN,Currently living in the United States of America,,31-40,Female,Bachelor's degree in college (4-year),"$100,000 to $149,999",Multiple times per day,"Television broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.)",,Sometimes,"Reuters,CNN,Other","BBC, NPR",Left leaning,Democrat,,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Sometimes,Fairly Often,Fairly Often,Almost Never,Sometimes,Fairly Often,Fairly Often,Fairly Often,Sometimes,Sometimes,,,,,,35,,,,,Control
11/13/2018 11:58,11/13/2018 12:06,IP Address,23.115.82.247,100,469,TRUE,11/13/2018 12:06,R_3s61Ao3b68IMZmq,,,,,35.0552063,-80.81950378,anonymous,EN,Currently living in the United States of America,,41-50,Female,Bachelor's degree in college (4-year),"$150,000 or more",Multiple times per day,"Television broadcast,Radio broadcast,Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"Reuters,CNN,Other",,Central,Republican,,Sometimes,Sometimes,Almost Never,Very Often,Very Often,Very Often,Very Often,Never,Fairly Often,Very Often,Almost Never,Fairly Often,Fairly Often,Almost Never,,,,,,45,,,,,Treatment
11/13/2018 12:02,11/13/2018 12:09,IP Address,71.187.155.55,100,426,TRUE,11/13/2018 12:09,R_Z9p9hvTWANjm6g9,,,,,40.98199463,-74.11309814,anonymous,EN,Currently living in the United States of America,,41-50,Female,Bachelor's degree in college (4-year),"$150,000 or more",Multiple times per day,"Television broadcast,Radio broadcast,Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through an aggregator (Google News, The Skimm, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,"Reuters,CNN",,Central,Other,Vote on issues ,Sometimes,Sometimes,Very Often,Fairly Often,Fairly Often,Sometimes,Sometimes,Fairly Often,Fairly Often,Almost Never,Sometimes,Very Often,Sometimes,Sometimes,,,,,,45,,,,,Placebo
11/13/2018 12:05,11/13/2018 12:09,IP Address,174.204.2.232,100,269,TRUE,11/13/2018 12:09,R_z6DlQH49vX7Ok1j,,,,,38.75889587,-77.08730316,anonymous,EN,Currently living in the United States of America,,41-50,Female,Master's degree,"$150,000 or more",Daily,"Online Media,Word of Mouth","Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Sometimes,Fox News,,Right leaning,Republican,,Almost Never,Almost Never,Almost Never,Very Often,Very Often,Very Often,Fairly Often,Never,Sometimes,Very Often,Almost Never,Very Often,Fairly Often,Never,,,,,,45,,,,,Treatment
11/13/2018 12:04,11/13/2018 12:10,IP Address,174.203.13.229,100,333,TRUE,11/13/2018 12:10,R_24vLmNI03qCylXQ,,,,,40.7651062,-73.96379852,anonymous,EN,Currently living in the United States of America,,41-50,Female,Master's degree,"$100,000 to $149,999",Daily,Online Media,"Directly from the news source (CNN, Fox News, etc.),Through social media (Facebook, LinkedIn, etc.)",,Rarely,"CNN,Other",UK Telegraph ,Left leaning,Democrat,,Sometimes,Sometimes,Sometimes,Fairly Often,Sometimes,Fairly Often,Fairly Often,Sometimes,Fairly Often,Fairly Often,Almost Never,Very Often,Sometimes,Almost Never,,,,,,45,,,,,Treatment
11/13/2018 12:07,11/13/2018 12:11,IP Address,174.204.1.126,100,212,TRUE,11/13/2018 12:11,R_3dY5oitWd4rZ9DO,,,,,38.81910706,-77.14839935,anonymous,EN,Currently living in the United States of America,,31-40,Female,Master's degree,"$150,000 or more",Multiple times per day,"Television broadcast,Online Media","Directly from the news source (CNN, Fox News, etc.)",,Rarely,Reuters,,Right leaning,Independent,,Sometimes,Sometimes,Sometimes,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Almost Never,Fairly Often,Sometimes,Sometimes,Very Often,Sometimes,Almost Never,,,,,,35,,,,,Treatment
